%
%	这是工人能力的数据
%
%	2018/6/9

@RELATION trait

@ATTRIBUTE workerid NUMERIC
%标注类型一
@ATTRIBUTE trait_1_1 NUMERIC
@ATTRIBUTE trait_1_2 NUMERIC
@ATTRIBUTE trait_1_3 NUMERIC
@ATTRIBUTE trait_1_4 NUMERIC
@ATTRIBUTE trait_1_5 NUMERIC
@ATTRIBUTE trait_1_6 NUMERIC
@ATTRIBUTE trait_1_7 NUMERIC
@ATTRIBUTE trait_1_8 NUMERIC
@ATTRIBUTE trait_1_9 NUMERIC
@ATTRIBUTE trait_1_10 NUMERIC
@ATTRIBUTE trait_1_11 NUMERIC
@ATTRIBUTE trait_1_12 NUMERIC
@ATTRIBUTE trait_1_13 NUMERIC
@ATTRIBUTE trait_1_14 NUMERIC
@ATTRIBUTE trait_1_15 NUMERIC
@ATTRIBUTE trait_1_16 NUMERIC
@ATTRIBUTE trait_1_17 NUMERIC
@ATTRIBUTE trait_1_18 NUMERIC
@ATTRIBUTE trait_1_19 NUMERIC
@ATTRIBUTE trait_1_20 NUMERIC
@ATTRIBUTE trait_1_21 NUMERIC
@ATTRIBUTE trait_1_22 NUMERIC
@ATTRIBUTE trait_1_23 NUMERIC
@ATTRIBUTE trait_1_24 NUMERIC
@ATTRIBUTE trait_1_25 NUMERIC
@ATTRIBUTE trait_1_26 NUMERIC
@ATTRIBUTE trait_1_27 NUMERIC
@ATTRIBUTE trait_1_28 NUMERIC
@ATTRIBUTE trait_1_29 NUMERIC
@ATTRIBUTE trait_1_30 NUMERIC
%标注类型二
@ATTRIBUTE trait_2_1 NUMERIC
@ATTRIBUTE trait_2_2 NUMERIC
@ATTRIBUTE trait_2_3 NUMERIC
@ATTRIBUTE trait_2_4 NUMERIC
@ATTRIBUTE trait_2_5 NUMERIC
@ATTRIBUTE trait_2_6 NUMERIC
@ATTRIBUTE trait_2_7 NUMERIC
@ATTRIBUTE trait_2_8 NUMERIC
@ATTRIBUTE trait_2_9 NUMERIC
@ATTRIBUTE trait_2_10 NUMERIC
@ATTRIBUTE trait_2_11 NUMERIC
@ATTRIBUTE trait_2_12 NUMERIC
@ATTRIBUTE trait_2_13 NUMERIC
@ATTRIBUTE trait_2_14 NUMERIC
@ATTRIBUTE trait_2_15 NUMERIC
@ATTRIBUTE trait_2_16 NUMERIC
@ATTRIBUTE trait_2_17 NUMERIC
@ATTRIBUTE trait_2_18 NUMERIC
@ATTRIBUTE trait_2_19 NUMERIC
@ATTRIBUTE trait_2_20 NUMERIC
@ATTRIBUTE trait_2_21 NUMERIC
@ATTRIBUTE trait_2_22 NUMERIC
@ATTRIBUTE trait_2_23 NUMERIC
@ATTRIBUTE trait_2_24 NUMERIC
@ATTRIBUTE trait_2_25 NUMERIC
@ATTRIBUTE trait_2_26 NUMERIC
@ATTRIBUTE trait_2_27 NUMERIC
@ATTRIBUTE trait_2_28 NUMERIC
@ATTRIBUTE trait_2_29 NUMERIC
@ATTRIBUTE trait_2_30 NUMERIC
%标注类型三
@ATTRIBUTE trait_3_1 NUMERIC
@ATTRIBUTE trait_3_2 NUMERIC
@ATTRIBUTE trait_3_3 NUMERIC
@ATTRIBUTE trait_3_4 NUMERIC
@ATTRIBUTE trait_3_5 NUMERIC
@ATTRIBUTE trait_3_6 NUMERIC
@ATTRIBUTE trait_3_7 NUMERIC
@ATTRIBUTE trait_3_8 NUMERIC
@ATTRIBUTE trait_3_9 NUMERIC
@ATTRIBUTE trait_3_10 NUMERIC
@ATTRIBUTE trait_3_11 NUMERIC
@ATTRIBUTE trait_3_12 NUMERIC
@ATTRIBUTE trait_3_13 NUMERIC
@ATTRIBUTE trait_3_14 NUMERIC
@ATTRIBUTE trait_3_15 NUMERIC
@ATTRIBUTE trait_3_16 NUMERIC
@ATTRIBUTE trait_3_17 NUMERIC
@ATTRIBUTE trait_3_18 NUMERIC
@ATTRIBUTE trait_3_19 NUMERIC
@ATTRIBUTE trait_3_20 NUMERIC
@ATTRIBUTE trait_3_21 NUMERIC
@ATTRIBUTE trait_3_22 NUMERIC
@ATTRIBUTE trait_3_23 NUMERIC
@ATTRIBUTE trait_3_24 NUMERIC
@ATTRIBUTE trait_3_25 NUMERIC
@ATTRIBUTE trait_3_26 NUMERIC
@ATTRIBUTE trait_3_27 NUMERIC
@ATTRIBUTE trait_3_28 NUMERIC
@ATTRIBUTE trait_3_29 NUMERIC
@ATTRIBUTE trait_3_30 NUMERIC
%标注类型四
@ATTRIBUTE trait_4_1 NUMERIC
@ATTRIBUTE trait_4_2 NUMERIC
@ATTRIBUTE trait_4_3 NUMERIC
@ATTRIBUTE trait_4_4 NUMERIC
@ATTRIBUTE trait_4_5 NUMERIC
@ATTRIBUTE trait_4_6 NUMERIC
@ATTRIBUTE trait_4_7 NUMERIC
@ATTRIBUTE trait_4_8 NUMERIC
@ATTRIBUTE trait_4_9 NUMERIC
@ATTRIBUTE trait_4_10 NUMERIC
@ATTRIBUTE trait_4_11 NUMERIC
@ATTRIBUTE trait_4_12 NUMERIC
@ATTRIBUTE trait_4_13 NUMERIC
@ATTRIBUTE trait_4_14 NUMERIC
@ATTRIBUTE trait_4_15 NUMERIC
@ATTRIBUTE trait_4_16 NUMERIC
@ATTRIBUTE trait_4_17 NUMERIC
@ATTRIBUTE trait_4_18 NUMERIC
@ATTRIBUTE trait_4_19 NUMERIC
@ATTRIBUTE trait_4_20 NUMERIC
@ATTRIBUTE trait_4_21 NUMERIC
@ATTRIBUTE trait_4_22 NUMERIC
@ATTRIBUTE trait_4_23 NUMERIC
@ATTRIBUTE trait_4_24 NUMERIC
@ATTRIBUTE trait_4_25 NUMERIC
@ATTRIBUTE trait_4_26 NUMERIC
@ATTRIBUTE trait_4_27 NUMERIC
@ATTRIBUTE trait_4_28 NUMERIC
@ATTRIBUTE trait_4_29 NUMERIC
@ATTRIBUTE trait_4_30 NUMERIC
%标注类型五
@ATTRIBUTE trait_5_1 NUMERIC
@ATTRIBUTE trait_5_2 NUMERIC
@ATTRIBUTE trait_5_3 NUMERIC
@ATTRIBUTE trait_5_4 NUMERIC
@ATTRIBUTE trait_5_5 NUMERIC
@ATTRIBUTE trait_5_6 NUMERIC
@ATTRIBUTE trait_5_7 NUMERIC
@ATTRIBUTE trait_5_8 NUMERIC
@ATTRIBUTE trait_5_9 NUMERIC
@ATTRIBUTE trait_5_10 NUMERIC
@ATTRIBUTE trait_5_11 NUMERIC
@ATTRIBUTE trait_5_12 NUMERIC
@ATTRIBUTE trait_5_13 NUMERIC
@ATTRIBUTE trait_5_14 NUMERIC
@ATTRIBUTE trait_5_15 NUMERIC
@ATTRIBUTE trait_5_16 NUMERIC
@ATTRIBUTE trait_5_17 NUMERIC
@ATTRIBUTE trait_5_18 NUMERIC
@ATTRIBUTE trait_5_19 NUMERIC
@ATTRIBUTE trait_5_20 NUMERIC
@ATTRIBUTE trait_5_21 NUMERIC
@ATTRIBUTE trait_5_22 NUMERIC
@ATTRIBUTE trait_5_23 NUMERIC
@ATTRIBUTE trait_5_24 NUMERIC
@ATTRIBUTE trait_5_25 NUMERIC
@ATTRIBUTE trait_5_26 NUMERIC
@ATTRIBUTE trait_5_27 NUMERIC
@ATTRIBUTE trait_5_28 NUMERIC
@ATTRIBUTE trait_5_29 NUMERIC
@ATTRIBUTE trait_5_30 NUMERIC



@DATA
100000001,0,0,0,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,21,0,0,8,0,11,0,6,13,8,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,8,4,0,0,5,19,14,0,0,0,0,0,14,0,0,0,14,0,4,0,3,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,4,0,0,12,13,0,0,0,0,8,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100000002,16,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,16,8,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,13,7,3,0,2,8,0,0,0,0,10,0,0,3,0,0,0,0,0,4,0,18,0,0,0,16,6,0,0,0,19,0,0,0,0,0,0,12,0,0,6,0,0,0,0,12,0,12,0,0,5,0,0,13,0,0,15,0,15,0,0,0,0,0,7,4,0,0,0,14,13,0,14,0,0,0,0,5,0,0,0
100000003,0,0,0,0,0,0,0,13,8,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,17,0,0,13,0,0,16,14,0,0,1,0,0,12,0,0,0,7,0,8,0,0,0,0,5,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,2,0,0,5,0,17,3,0,0,13,0,0,17,0,0,0,0,0,0,0,8,0,0,0,0,11,6,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0
100000004,10,0,0,9,0,0,14,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,12,0,0,7,16,0,0,0,0,21,0,0,0,0,0,8,18,0,0,0,5,0,8,0,0,0,15,0,0,6,4,0,0,14,0,0,6,0,0,0,0,0,0,12,0,0,0,19,0,8,0,0,0,4,8,0,12,0,0,9,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,13,0,0,13,0,13,0,7,0,0,0,5,0,0,0,0,10,0,0,0,0,13,0,0,0,17,18,6,0,0,0,16,0,0,0,0,11,0,18,0,15,0,4,15
100000005,0,7,0,0,0,0,0,0,0,15,7,22,0,0,0,0,0,0,0,19,0,0,4,0,0,15,0,0,12,14,0,0,0,0,0,7,0,13,3,0,0,0,4,8,0,12,15,0,14,17,1,0,0,0,0,2,0,5,0,0,0,13,6,12,0,3,13,0,0,15,0,11,0,12,0,0,0,0,0,0,15,7,0,0,19,0,13,0,0,0,16,0,1,0,0,16,0,0,0,0,0,0,0,13,0,0,0,17,0,0,0,0,7,5,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,1,15,0,1,0,0,0,0,6,5,0,0,0
100000006,14,0,2,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,17,0,0,4,0,0,0,19,0,0,0,15,0,0,0,7,5,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,2,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,7,0,0,20,0,0,2,0,0,0,0,0,0,0,18,12,0,0,3,0,0,0,6,3,7,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0
100000007,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,13,0,0,6,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,8,15,0,0,0,0,7,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,16,0,13,0,0,0,0,0,15,0,0,0,0,10,8,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,18,0,12,0,12,0,0,21,0,0,0,7,0,18,0,0,8,0,8,0,0,0,0,0,0,5,5,0,0,0,17,0,0,0
100000008,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,15,0,0,0,0,4,17,14,0,0,0,0,0,14,0,7,0,0,0,13,0,0,0,6,14,0,0,10,0,0,3,0,0,0,0,0,0,0,0,13,3,0,12,0,0,0,0,3,18,0,0,0,0,0,0,0,4,16,12,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,11,4,12,3,0,0,5,0,0,0,0,0,4,0,0,17,12,11,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,20,2,0,0,4,0,0
100000009,0,0,0,4,0,13,0,0,0,12,0,0,5,7,0,0,0,0,6,3,12,0,16,6,0,0,0,0,13,0,13,0,7,0,0,7,0,0,0,11,0,0,0,2,0,5,0,0,0,6,0,7,0,0,6,16,15,0,0,0,0,0,0,1,0,0,0,20,0,0,0,13,12,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,21,0,0,15,1,12,0,0,0,11,0,0,0,0,0,0,0,0
100000010,0,0,0,0,0,9,0,0,16,0,18,0,0,0,0,14,7,0,5,0,0,0,12,0,0,0,8,0,0,8,14,0,0,0,18,0,0,8,7,0,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,2,13,0,13,0,23,0,0,13,7,0,0,0,5,12,0,0,5,0,7,0,0,0,16,0,5,0,0,0,16,0,0,0,0,9,0,0,0,8,0,0,17,16,0,0,0,0,0,0,0,0,0,8,0,13,0,6,17,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,18,0,16,2,0,0,0,11,0,0,0
100000011,0,17,15,0,0,0,13,17,0,6,0,0,14,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,15,0,0,3,7,3,3,0,0,0,0,0,0,0,5,13,7,0,0,0,0,7,0,0,0,0,14,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,10,0,3,0,0,0,0,17,0,0,12,0,0,0,0,0,0,14,0,0,3,12,0,0,0,0,8,14,17,0,0,0,19,0,0,15,5,0,4,0,0,0,11,0,0,0,7,1,0,0,0,0,14,7,0,0,14,0,0,15,0,0,5,0
100000012,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,17,9,0,0,0,0,11,15,5,14,0,0,0,13,0,0,0,0,0,0,0,0,11,2,8,10,16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,8,0,0,3,15,13,0,17,9,0,8,0,0,0,13,0,0,11,0,0,8,0,0,0,0,0,0,5,25,10,0,0,3,0,0,0,0,0,0,0,0,0,0,3
